玉米	corn
白饭	rice
咸鸭蛋	salted egg
翻炒蛋	scrambled egg
番茄蛋	tomato egg
糙米	brown rice
瘦肉	lean pork
凉拌豆腐 (小方块）	tofu cubes (small)
豆腐丝/豆皮	beancurd skin strips (cold dish)
凉拌黑木耳	black fungus
凉拌黄瓜	cucumber
小白菜（绿）	xiao bai cai
包菜	cabbage
苦瓜	bittergourd with little bit of scrambled egg
芹菜	celery stir fried
番薯葉	green potato leaves stir fried
凉拌豆干＆胡萝卜片	taukwa(tofu) strips, carrot, cucumber
凉拌黄瓜片＆豆腐 (素肉)	素肉 fake meat with cucumber
凉皮	凉皮 (looks like horfun/kwaytiao)
凉拌猪耳	pig ear YIH
炒面	fried noodles YIH
豆芽	beansprouts
白萝卜	white radish
长豆/豇豆	long beans
西兰花和花菜	caulliflower and brocolli stir fried
酸辣羊角豆/秋葵	chilli okra
花菜&黑木耳	caulliflower with black fungus
炒大白菜	Fried cabbage
烩白豆腐虾仁	tofu and shelled prawns
鲍菇	mushroom
炒西兰花＆玉米笋＆黑木耳＆藕片/西蓝花&鱿鱼	lotus root, black fungus, brocolli
炒豆腐	tofu stir fried
猪肝	pork liver
土豆炒番茄酱豆	potato and beans
茄子	brinjal
滷豆腐	braised tofu
鸭肉	braised duck
小炒肉（猪肉片＆青椒＆豆腐）	pork, green capsicum, tofu
凉拌猪肉片	cold pork
土豆烧鸡（大盘鸡）	potato chicken
西兰花& 虾	brocolli and shelled prawn
咖喱鸡	curry chicken
红酱。酸甜肉	sweet and sour pork
肉碎	minced pork
卤鸡/红烧鸡块	braised chicken
猪脚	braised pork trotter
炖排骨	stewed pork ribs
红烧五花肉/	braised pork belly
黑酱猪肉	black sauce pork
灰褐色肉球	brown meat ball
清蒸鱼块	YIH steamed segmented fish
炸鱼。整只	fried whole fish
炸鱼片	fried fish fillet
章鱼，鱿鱼。O型	sotong
红烧鱼肉	red sauce fish
炸鱼片，粉红酱汁	fried fish fillet with pink sauce
煎蛋	fried egg
白色鱼片/酸菜鱼	fish skinless small pieces
红烧猪扒（黑色肉扒/各种扒	pork cutlet, black sauce big piece
鸡腿	whole drumstick separate bowl
	
麻油鸡	sesame chicken
炸脆鸡扒	fried crispy chicken cutlet
毛瓜丝	hairy gourd stir fried
咸菜	salted vegetable
冬粉	glass noodles
胡辣汤	dark soup separate bowl
紫菜蛋花汤	clear soup separate bowl
馒头	steamed bread
烧饼	Biscuits
画卷	Picture
红米粥	Red rice porridge
牛肉土豆	beef potato
茄子炒肉 （瘦肉）	brinjal lean pork
肉+土豆+长豆？？？	Meat + potatoes + long beans ???
豆干	Dried bean
海带	seaweed kelp
红薯/地瓜	sweet potato
土豆丝	potato floss
炒猪肉（看reference）	Fried pork (see reference)
